City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Arman,RU,59.7,150.1667,44.02,83,100,11.5,light rain
128,Hilo,US,19.7297,-155.09,90.28,85,78,5.99,broken clouds
129,Hermanus,ZA,-34.4187,19.2345,55.8,71,72,16.44,light rain
130,Sovetskaya Gavan,RU,48.9723,140.2878,51.39,60,100,9.57,moderate rain
131,Norman Wells,CA,65.282,-126.8329,38.95,96,100,7.52,light rain
132,Bredasdorp,ZA,-34.5322,20.0403,57.61,70,98,15.55,overcast clouds
133,Misratah,LY,32.3754,15.0925,68.72,61,0,3.83,clear sky
134,Casablanca,MA,33.5928,-7.6192,69.33,77,8,8.99,clear sky
135,Vardo,NO,70.3705,31.1107,33.78,69,100,23.02,overcast clouds
136,Bluff,NZ,-46.6,168.3333,52.81,70,54,29.15,broken clouds
137,Chuy,UY,-33.6971,-53.4616,53.83,83,77,9.71,broken clouds
138,Burnie,AU,-41.0667,145.9167,56.95,70,52,11.83,broken clouds
139,Nabire,ID,-3.3667,135.4833,86.68,64,100,3.67,overcast clouds
140,Kholodnyy,RU,62.7167,147.95,40.33,48,10,1.81,clear sky
141,Faya,SA,18.3851,42.4509,61.32,24,7,5.7,clear sky
142,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,11.5,few clouds
143,Hithadhoo,MV,-0.6,73.0833,83.1,75,100,12.91,overcast clouds
144,Labuhan,ID,-6.8844,112.2051,85.48,70,100,9.22,overcast clouds
145,Talara,PE,-4.5772,-81.2719,66.94,85,97,13.0,overcast clouds
146,Coihueco,CL,-36.6167,-71.8333,51.42,63,100,5.59,overcast clouds
147,Puerto Ayora,EC,-0.7393,-90.3518,73.54,97,88,5.77,overcast clouds
148,Ararat,AM,39.8317,44.7049,57.54,59,7,1.5,clear sky
149,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.93,86,100,8.99,overcast clouds
150,Jaciara,BR,-15.9653,-54.9683,47.66,55,40,2.95,scattered clouds
151,Bururi,BI,-3.85,29.6333,55.33,86,100,2.35,overcast clouds
152,Nampula,MZ,-15.1165,39.2666,65.53,92,99,2.39,overcast clouds
153,Dillon,US,34.4166,-79.3712,77.34,60,6,11.65,clear sky
154,Sooke,CA,48.3746,-123.7276,50.83,76,27,20.56,scattered clouds
155,Grand Gaube,MU,-20.0064,57.6608,72.37,76,7,3.0,clear sky
156,Lianzhou,CN,24.7811,112.3825,82.27,63,97,1.79,overcast clouds
157,Biak,ID,-0.9131,122.8766,78.51,83,100,3.27,overcast clouds
158,Senanga,ZM,-16.1167,23.2667,59.52,65,73,3.62,broken clouds
159,Douentza,ML,14.9951,-2.9517,83.48,21,2,5.64,clear sky
160,Mkushi,ZM,-13.6202,29.3939,53.53,93,4,4.25,clear sky
161,Ndele,CF,8.4109,20.6473,72.73,82,99,2.26,light rain
162,Provideniya,RU,64.3833,-173.3,32.11,100,100,6.71,mist
163,Tasiilaq,GL,65.6145,-37.6368,37.56,93,100,5.3,overcast clouds
164,Hofn,IS,64.2539,-15.2082,45.93,89,80,5.23,broken clouds
165,Najran,SA,17.4924,44.1277,72.18,21,4,3.91,clear sky
166,Ponta Do Sol,PT,32.6667,-17.1,69.01,81,94,2.17,overcast clouds
167,Te Anau,NZ,-45.4167,167.7167,48.33,82,96,10.49,light rain
168,Svit,SK,49.0601,20.2069,39.96,80,0,5.75,clear sky
169,Qaanaaq,GL,77.484,-69.3632,25.9,91,100,3.13,overcast clouds
170,Keflavik,IS,64.0049,-22.5624,46.83,100,100,5.75,light intensity drizzle
171,Avera,US,33.194,-82.5271,72.37,48,26,7.63,scattered clouds
172,Qala,AZ,40.4418,50.1681,64.29,82,0,16.11,clear sky
173,Esmeraldas,BR,-19.7625,-44.3139,47.26,68,0,5.17,clear sky
174,Richards Bay,ZA,-28.783,32.0377,65.44,83,6,11.79,clear sky
175,Kalmanhaza,HU,47.8833,21.5833,42.69,70,0,5.17,clear sky
176,Carnarvon,AU,-24.8667,113.6333,73.8,52,29,8.1,scattered clouds
177,Ilhabela,BR,-23.7781,-45.3581,57.92,68,15,12.08,few clouds
178,Altagracia De Orituco,VE,9.8601,-66.3814,74.73,80,100,1.41,overcast clouds
179,Aksu,CN,41.1231,80.2644,77.54,21,80,4.29,broken clouds
180,Deputatskiy,RU,69.3,139.9,27.91,92,100,3.76,overcast clouds
181,Ilulissat,GL,69.2167,-51.1,26.62,93,9,0.0,clear sky
182,Port Hedland,AU,-20.3167,118.5667,82.45,57,0,10.36,clear sky
183,Mahebourg,MU,-20.4081,57.7,72.25,74,56,16.17,broken clouds
184,Iquique,CL,-20.2208,-70.1431,62.64,76,39,2.46,scattered clouds
185,Emba,KZ,48.8264,58.1442,56.21,57,81,13.29,broken clouds
186,Acapulco,MX,16.8634,-99.8901,82.22,65,0,9.22,clear sky
187,Madang,PG,-5.2246,145.7966,86.52,64,13,7.76,few clouds
188,Beringovskiy,RU,63.05,179.3167,41.43,73,100,9.31,overcast clouds
189,Yellowknife,CA,62.456,-114.3525,48.56,24,0,17.0,clear sky
190,Nioro,GM,13.35,-15.75,76.14,68,17,7.25,few clouds
191,Cherskiy,RU,68.75,161.3,45.09,80,99,7.09,overcast clouds
192,Kendari,ID,-3.945,122.4989,82.31,79,98,2.75,overcast clouds
193,Kupang,ID,-10.1667,123.5833,88.05,59,8,9.55,clear sky
194,Nara,JP,34.6851,135.8049,79.5,23,100,5.64,overcast clouds
195,Payo,ID,-3.7508,103.6372,86.92,62,12,1.92,few clouds
196,Torbay,CA,47.6666,-52.7314,47.57,93,33,10.2,scattered clouds
197,Barrow,US,71.2906,-156.7887,19.42,93,100,17.27,overcast clouds
198,Bethanien,NA,-26.502,17.1583,60.66,45,10,7.25,clear sky
199,Daru,PG,-9.0763,143.2092,82.09,77,27,8.9,scattered clouds
200,Sibolga,ID,1.7427,98.7792,85.46,62,18,3.22,few clouds
201,Dalianwan,CN,39.0286,121.695,75.24,35,0,13.42,clear sky
202,Black River,JM,18.0264,-77.8487,78.91,83,88,4.18,overcast clouds
203,Maureni,RO,45.4039,21.5025,46.36,73,0,2.26,clear sky
204,Lar,IN,26.2039,83.9717,96.15,32,4,6.29,clear sky
205,Shache,CN,38.4167,77.2406,78.37,20,3,4.88,clear sky
206,Kargil,IN,34.5667,76.1,49.23,40,13,3.29,few clouds
207,Kannangad,IN,12.3081,75.1063,75.34,90,100,11.9,light rain
208,Luza,RU,60.6308,47.2512,37.71,81,100,5.37,overcast clouds
209,Kagoro,NG,9.6,8.3833,71.42,81,100,1.14,overcast clouds
210,Asfi,MA,32.2994,-9.2372,65.05,89,15,14.9,few clouds
211,Novobirilyussy,RU,56.9514,90.6661,69.96,42,89,4.5,overcast clouds
212,Shenjiamen,CN,29.9576,122.298,66.09,80,100,10.89,overcast clouds
213,San Quintin,MX,30.4833,-115.95,58.89,79,1,5.32,clear sky
214,Evans,US,33.5337,-82.1307,78.85,66,2,5.88,clear sky
215,Lakes Entrance,AU,-37.8811,147.981,60.17,61,66,14.29,broken clouds
216,Flin Flon,CA,54.7682,-101.865,46.71,57,100,4.72,overcast clouds
217,Les Cayes,HT,18.2,-73.75,77.74,88,86,5.57,overcast clouds
218,Tessalit,ML,20.1986,1.0114,85.69,10,100,11.81,overcast clouds
219,Naze,JP,28.3667,129.4833,70.38,72,100,13.24,overcast clouds
220,Villa Carlos Paz,AR,-31.4241,-64.4978,41.83,10,0,3.0,clear sky
221,Cayenne,GF,4.9333,-52.3333,74.08,1,75,2.3,broken clouds
222,Cidreira,BR,-30.1811,-50.2056,58.17,79,45,14.92,scattered clouds
223,Yulara,AU,-25.2406,130.9889,64.51,41,97,11.23,overcast clouds
224,Warrington,GB,53.3925,-2.5802,53.98,89,75,12.66,broken clouds
225,Dagda,LV,56.0951,27.5372,38.71,72,99,6.89,overcast clouds
226,Xuzhou,CN,34.1805,117.1571,79.05,35,97,6.89,overcast clouds
227,Port Lincoln,AU,-34.7333,135.8667,60.46,59,4,16.22,clear sky
228,Palo Alto,US,37.4419,-122.143,76.93,64,0,12.66,clear sky
229,Nikel,RU,69.4128,30.222,33.98,84,98,13.11,overcast clouds
230,Eyl,SO,7.9803,49.8164,81.99,63,65,14.7,broken clouds
231,Nalgonda,IN,17.05,79.2667,85.64,64,100,7.63,overcast clouds
232,Talnakh,RU,69.4865,88.3972,33.21,87,100,7.58,light snow
233,Aquiraz,BR,-3.9014,-38.3911,78.89,87,66,4.18,broken clouds
234,Grenaa,DK,56.4158,10.8783,57.42,94,100,7.63,overcast clouds
235,Upernavik,GL,72.7868,-56.1549,14.43,99,39,6.08,scattered clouds
236,Cacu,BR,-18.5567,-51.1308,46.45,72,32,2.75,scattered clouds
237,Outjo,NA,-20.1167,16.15,55.6,40,0,6.4,clear sky
238,Guiyang,CN,26.5833,106.7167,57.6,92,100,4.9,overcast clouds
239,San Ignacio,BZ,17.1561,-89.0714,84.34,65,0,0.0,clear sky
240,Stege,DK,54.987,12.2846,62.1,93,100,12.8,overcast clouds
241,Cabedelo,BR,-6.9811,-34.8339,78.87,80,46,5.3,scattered clouds
242,Bubaque,GW,11.2833,-15.8333,78.1,84,4,10.02,clear sky
243,Bandarbeyla,SO,9.4942,50.8122,83.52,63,95,20.45,overcast clouds
244,Nome,US,64.5011,-165.4064,41.16,86,100,8.05,mist
245,Hervey Bay,AU,-25.2986,152.8535,77.02,68,93,5.99,overcast clouds
246,Isiro,CD,2.7739,27.616,64.83,99,99,1.61,light rain
247,Vila,PT,42.0304,-8.1588,45.7,90,66,3.09,broken clouds
248,Abha,SA,18.2164,42.5053,61.05,20,2,0.0,clear sky
249,Talakan,RU,50.3167,130.3667,64.96,30,38,12.35,scattered clouds
250,Necochea,AR,-38.5473,-58.7368,44.47,86,9,5.55,clear sky
251,Humaita,BR,-7.5061,-63.0208,64.72,75,100,3.83,overcast clouds
252,Bichena,ET,10.45,38.2,56.25,26,23,2.08,few clouds
253,Jining,CN,35.405,116.5814,83.62,26,91,9.93,overcast clouds
254,Maneadero,MX,31.7167,-116.5667,58.1,82,2,4.0,clear sky
255,Hasaki,JP,35.7333,140.8333,81.28,51,0,10.58,clear sky
256,Port-Cartier,CA,50.0334,-66.8654,38.75,70,2,6.64,clear sky
257,Rocha,UY,-34.4833,-54.3333,49.96,88,18,7.07,few clouds
258,Octeville,FR,49.6261,-1.6435,54.09,100,75,6.91,broken clouds
259,Provost,CA,52.3501,-110.2683,49.41,77,100,15.41,light rain
260,Severo-Kurilsk,RU,50.6789,156.125,47.34,81,99,8.68,overcast clouds
261,Ellensburg,US,46.9965,-120.5479,56.1,58,0,28.77,clear sky
262,Qixia,CN,37.2975,120.8256,81.05,27,100,7.36,overcast clouds
263,Finschhafen,PG,-6.6024,147.8681,84.78,68,36,7.74,light rain
264,Floriano,BR,-6.7669,-43.0225,77.7,81,100,3.65,overcast clouds
265,Gamba,GA,-2.65,10.0,77.41,86,100,7.76,overcast clouds
266,Hukuntsi,BW,-24.0,21.75,55.92,55,5,10.87,clear sky
267,Tuktoyaktuk,CA,69.4541,-133.0374,32.22,93,100,9.82,overcast clouds
268,Kahului,US,20.8947,-156.47,80.62,70,20,9.22,few clouds
